noreg,tanggal_record,plan,aktual,reject,persentase,hadir,keterangan
2605045,2026-06-03,0,14,0,100.0,✔,tidak ada
2605044,2026-06-04,20,20,0,100.0,✔,tidak ada
2605039,2026-06-04,26,26,0,100.0,✔,Tidak ada
2602002,2026-06-03,15,17,0,113.33,✔,1
2603131,2026-06-04,0,0,0,,✔,"Memindahkan ladle steel dan fcd dari area melting ke area ladle dengan forklift,lalu melakukan pembersihan sisa cairan dan slag dengan menggunakan dril lalu melakukan pengukuran ulang dimensi ladle untuk ladle fcd sehabis membuat ulang poket lalu di ukur dimensi poket dan ketinggian poket,ladle sehabis di ukur lalu di repair dengan menggunakan semen dra-zrp dan semen dra-lp526 setelah repair dengan menggunakan semen lalu rapikan ladle yang sudah repair dengan kuas dan air setelah ladle sudah siap repair lalu melakukan pemindahan ladle ke burner dengan menggunakan forklift sehabis itu ladle yang akan di buat masak di burner,sehabis burner lalu melakukan pembongkaran total Furnace 1ton
Kendala: Dril mati 
Kendala furnace:ada cairan menempel di lining"
2603130,2026-06-03,0,714,0,100.0,✔,Packing Pole Adjuster 714 pcs
2605047,2026-06-03,0,36,0,100.0,✔,Tidak ada
2605047,2026-06-04,0,22,0,100.0,✔,Tidak ada
2603143,2026-06-02,0,5,0,100.0,✔,
2603143,2026-06-04,0,29,0,100.0,✔,
2602168,2026-06-04,0,30,0,100.0,✔,1. Kiriman disurabaya dan ngambil barang diplant 2 surabaya
2601176,2026-06-04,0,0,0,,✔,Time management
2605011,2026-06-04,100,100,6,100.0,✔,Tidak ada
2604144,2026-06-04,0,0,0,,✔,"1. Melakukan penyebaran RPH ke setiap line produksi sesuai jadwal.
2. Mencetak ulang form produksi yang habis di area produksi.
3. Mengambil seluruh checksheet produksi dari masing-masing line.
4. Melakukan input data produksi secara berkala.
5. Menginput hasil produksi ke sistem Dynamics AX."
2605043,2026-06-04,108,108,0,100.0,✔,
2603130,2026-06-04,0,170,0,100.0,✔,gerinda O ring 170 (15 pcs) O ring 140 (10 pcs)
2605041,2026-06-04,124,124,0,100.0,✔,maintenance
2605033,2026-06-04,100,100,0,100.0,✔,tidak ada
2605012,2026-06-04,42,49,0,116.67,✔,Tidak ada
2604129,2026-06-04,0,58,0,100.0,✔,+
